Country Name,Country Code,Series Name,Series Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-28.00214166,-7.187110915,9.559411685,8.302866597,13.32233332,9.099999436,-10.91998408,8.829423758,12.89080364,6.946216592,8.293312631,4.53652416,5.528637465,5.514667911,5.526424247,5.902659036,5.983259519,7.50004143,3.35428935,3.706938153,2.545406145,1.4172428,1.002017541,1.774448853,2.218726375,3.314980684,3.8022274,4.019359685,2.088063376,-3.481630373,8.515501123,
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,226.0054213,85.00475124,22.56505269,7.793218538,12.72547781,33.18027438,20.64285887,0.389437654,0.050018136,3.10758827,7.770525834,0.484002612,2.280019169,2.366581957,2.370728319,2.932682482,3.320870904,2.266922095,3.626046956,3.429123247,2.031592684,1.937620802,1.625865044,1.896174026,1.275431684,1.986661332,2.028059631,1.41109079,1.620886617,2.041471631,6.725202715
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.307,30.015,25.258,20.84,14.611,13.931,16.876,20.047,20.84,19.028,18.575,17.895,16.989,16.31,15.97,15.63,15.97,13.06,13.67,14.09,13.48,13.38,15.87,18.05,17.19,15.42,13.62,12.3,11.47,13.067,12.683,11.808
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.1,26.5,22.3,18.4,12.9,12.3,14.9,17.7,18.4,16.8,16.4,4.61,15,14.4,6.57,13.8,15.97,13.06,13.67,14.09,13.48,13.38,15.87,18.05,17.19,15.42,13.62,12.3,11.47,,,
Albania,ALB,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-15.27885232,-7.773987153,1.257049317,-8.362788636,-0.480615552,-3.353500869,-12.0536115,-2.555809358,-4.837923867,-4.490920852,-5.542947809,-9.372437995,-7.249665323,-4.981782617,-7.09724459,-7.541577737,-10.7781031,-15.62852894,-15.38048453,-11.36586946,-12.93309722,-10.20017934,-9.274190686,-10.77539904,-8.604882722,-7.590825999,-7.544250119,-6.704918013,-7.913708743,-8.687514033,-7.502798008,
Albania,ALB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,17.37384069,18.10976567,15.34683823,16.53674306,19.39568914,21.73577378,23.1063696,24.05560851,24.66556227,25.08160659,25.30802592,25.34033192,25.16101033,24.41377839,24.93746193,24.48447822,22.91855334,23.06131685,21.50884574,21.763681,21.14196535,20.358367,21.27930613,20.61962882,20.00860897,21.82367819,
Albania,ALB,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,39.77251996,42.31598073,43.99425228,46.83404194,44.3029615,44.94302058,43.77651541,41.91147612,42.58041689,43.55447838,43.5234063,44.63982401,44.69915127,45.31722054,44.02558797,44.25637233,44.954686,44.6069895,45.78239166,46.28444259,46.69716852,47.96952236,47.75549556,48.40731365,48.38933147,47.71273864,
Albania,ALB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,36.41086377,31.54344388,28.78565044,25.91874552,24.51541204,22.7161642,22.02511409,21.97825708,20.53748631,18.84530872,17.70835362,17.15361957,16.83705384,16.7943836,17.9558664,18.2267896,18.76680189,19.56515781,19.99018136,19.78021442,19.84999447,19.02214885,18.42947925,18.38934744,19.2644408,17.66405926,
Albania,ALB,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,64.739,65.365,64.48,63.727,62.627,61.885,62.758,62.029,61.06,60.531,59.921,59.61,58.557,57.495,56.427,55.353,54.273,53.19,54.99,55.2,59.94,56.99,52.42,53.42,55.5,57.31,58.06,59.3,60.31,56.845,58.828,59.363
Albania,ALB,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,47.36,46.69,42.51,,40.29,38.81,58.4,58.4,57.2,55.6,,59.61,35,34.79,34.5,34.45,48.73,53.19,54.99,55.2,59.94,56.99,52.42,53.42,55.5,57.31,58.06,59.3,60.31,,,
Albania,ALB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,35.75690391,37.48106496,53.10782497,55.56570386,,,,,,,,,,,,,69.63767392,63.66915264,70.58076979,73.32022748,79.86441815,80.73558197,75.8887516,64.57032635,75.69848825,84.05861908,80.91596754,
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.200000586,1.800002303,-2.100000758,-0.899996552,3.79999479,4.09999847,1.099999939,5.100003609,3.200001552,3.8,3,5.6,7.2,4.3,5.9,1.7,3.4,2.4,1.6,3.6,2.899999999,3.4,2.8,3.8,3.7,3.2,1.3,1.2,1,-5.1,3.5,
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,25.88638693,31.66966191,20.54032612,29.04765612,29.77962649,18.67907586,5.733522754,4.950161638,2.645511134,0.339163189,4.225988349,1.418301923,4.268953958,3.961800303,1.382446567,2.311499185,3.678995747,4.858590628,5.737060361,3.911061955,4.524211505,8.891450911,3.25423911,2.916926921,4.784447007,6.397694803,5.59111591,4.269990205,1.951768211,2.415130941,7.226063074,9.265515516
Algeria,DZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,20.6,24.38,26.23,27.74,31.84,28.515,25.43,26.64,28.304,29.77,27.3,25.9,23.72,17.65,15.27,12.27,13.79,11.33,10.16,9.96,9.96,10.97,9.82,10.21,11.21,10.2,10.334,10.416,10.495,12.248,11.747,11.55
Algeria,DZA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,20.6,24.38,26.23,27.74,31.84,,25.43,,,29.77,27.3,25.9,23.72,17.65,15.27,12.27,13.79,11.33,10.16,9.96,9.96,10.97,9.82,10.21,11.21,10.2,12,,,,,
Algeria,DZA,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,5.177034979,,,,,,,,,,,,,,20.52360907,24.71474445,22.48795882,19.8562389,0.314599502,7.580469388,8.836357581,5.784241395,0.566324667,-4.332969388,-16.28976537,-16.37403271,-12.97348932,-9.665289348,-9.8704956,-12.54199018,-2.826333845,
Algeria,DZA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,44.239049,53.33096965,49.19828261,48.30065537,49.98314079,51.49832082,56.5538885,58.1285649,56.68648158,57.8354418,46.9481768,49.9674271,49.14014652,47.36116836,43.90409997,41.94030182,35.38269671,34.24888957,36.33057882,38.80518639,36.84621545,32.7121977,38.91878392,
Algeria,DZA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,38.97849977,33.11054601,35.76805257,36.05246162,34.44330611,33.58392758,30.96015543,30.95907658,33.22284694,33.3851849,40.75835484,39.24603997,40.46683381,40.50448382,42.20424787,43.8892416,48.51916562,49.29318253,47.63528376,45.28743536,46.39872732,48.74145715,44.02515723,
Algeria,DZA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,11.10697987,8.395048495,9.749419994,9.224982107,9.810558037,9.440477389,7.691314872,7.543077591,7.570625794,6.586675992,9.343365411,8.466443577,8.11058988,8.770686355,9.851117128,10.28639707,11.57870734,12.2200948,11.75590331,11.87420085,12.33621211,14.13479259,13.03090162,
Algeria,DZA,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,43.96,44.11,44.474,44.783,44.86,44.92,44.65,44.38,44.11,43.841,43.572,43.303,43.035,42.767,42.499,42.233,41.966,41.7,41.43,41.71,41.855,42,43.2,40.74,41.71,41.87,41.817,41.766,41.75,39.349,40.055,40.582
Algeria,DZA,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,,,,,,44.92,27.52,,,27.02,27.79,,,,,,,41.7,41.43,41.71,40.15,42,43.2,41.15,41.71,41.87,41.77,,,,,
Algeria,DZA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,0.965517241,0.409836066,-0.408163265,-4.098360656,1.851851852,-2.657342657,-4.166666667,0.299850075,0,-4.334828102,-2.5,1.762820513,3.149606299,-1.679389313,-6.98757764,2.671118531,-0.487804878,5.065359477,-1.866251944,
American Samoa,ASM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,5.05,,,,,9.98,,,,,9.2,,,,,,,,,,,,
American Samoa,ASM,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,,,,,,,,,,53.03,,,,,59.93,,,,,52.64,,,,,,,,,,,,
American Samoa,ASM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.546003524,0.92921404,-1.03148439,2.383182248,2.757501613,4.649738668,9.067672051,3.194793393,4.099078922,3.528362361,8.119357722,4.546362214,8.694203716,8.135676338,5.397795985,4.808688699,1.553188141,-5.559186369,-5.302846543,-1.974958,-0.008069753,-4.974443719,-3.547596515,2.504465521,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,-11.18393994,8.949417981,
Andorra,AND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.01094919,15.52631741,,
Andorra,AND,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,14.84375504,14.92401761,15.06728909,15.49493665,15.78035401,16.03578288,16.16729519,15.47353148,15.43276711,14.76648871,13.12564606,11.90885311,11.07157967,10.61824715,10.1535313,9.981268716,10.14077941,10.39551767,11.07633372,11.69981763,12.66015827,,
Andorra,AND,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,76.56099904,75.19393298,74.74635953,74.93703674,74.79423736,74.41988602,74.12427,74.55926199,75.36407506,76.0356014,76.99121165,77.3751352,76.82494913,78.02157585,78.24370911,78.66741433,78.10085369,77.86885863,77.6557919,77.55550982,79.81541549,,
Andorra,AND,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,0.517055748,0.441953155,0.385887246,0.419117893,0.414741998,0.380576808,0.353522338,0.368796684,0.406917964,0.418928933,0.466508602,0.490560827,0.601164454,0.585558984,0.537623493,0.51342011,0.521999648,0.559538513,0.546367883,0.522633248,0.55944277,,
Andorra,AND,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,,,,,,,,,,,,,,,,61.45,59.46,56.69,,,,,,,,,,,,,,
Andorra,AND,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.991359302,-5.838280733,-23.98341744,1.339363436,15.00000003,13.54436976,7.274277355,4.691146451,2.181489718,3.054624234,4.205998556,13.66568876,2.99,10.95000001,15.02999999,11.55,14.01000001,11.16999999,0.860000002,4.859999999,3.470000001,8.540000003,4.949999998,4.819999999,0.939999999,-2.579999996,-0.15,-1.316312102,-0.699999998,-5.6,1.1,
Angola,AGO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,83.78378378,299.5098039,1378.527607,949.7925311,2666.450593,4145.105982,219.1767212,107.2848215,248.1959024,324.9968716,152.5610225,108.8974361,98.22414366,43.54210675,22.95351385,13.30521018,12.25149745,12.47582913,13.73028393,14.46965649,13.48246792,10.27790492,8.777814293,7.280387304,9.353839725,30.69895786,29.84257779,19.63059436,17.07970441,22.27156431,25.75426565,
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.489,4.487,4.531,4.395,4.304,4.274,4.262,4.234,4.206,4.163,4.119,4.043,4.043,3.972,3.915,3.882,3.827,3.791,3.78,9.43,7.36,8.064,8.834,9.58,9.584,9.586,9.535,9.522,9.481,10.35,10.384,10.209
Angola,AGO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,23.64,,,,,3.78,9.43,16.77,,,9.58,,,,,16.5,,15.8,
Angola,AGO,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-5.465973,-8.844399594,-11.58835844,-7.656048282,-5.326960766,43.39867365,-11.55199269,-28.69757314,-27.79833285,8.715063656,-16.01297892,-0.981927017,-4.039582352,2.892477477,13.89709218,20.40781491,16.2123884,8.125547586,-10.76938821,9.187267689,11.95636576,11.07310664,6.105677273,-2.730542396,-11.77817508,-6.190138561,-0.917560877,9.515781373,7.412293809,1.626133714,12.46130178,
Angola,AGO,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,60.28517579,67.82067594,60.75774139,55.1572893,72.71737231,72.12295494,64.88381154,56.07579654,53.11699779,54.62993328,60.40199346,58.10933117,61.88353785,60.2548204,44.05637413,52.36843758,56.02651389,56.91821896,53.36285218,46.20332557,41.93309219,42.64356787,42.16795377,47.93154185,49.76092074,45.37451362,44.1161601,
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,33.06161049,25.1524549,30.24024067,31.93152829,20.99237086,22.21235549,26.95981144,37.90757897,41.18298746,40.34747311,35.52672583,37.15684684,34.61187835,34.33820176,48.99067141,41.88702582,39.07583075,39.60494555,42.78491467,46.81392753,48.65988857,46.98099553,46.76262483,43.20690961,42.1232137,45.13881805,46.45452328,
Angola,AGO,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,6.653213722,7.026869166,9.002017942,12.91118241,6.290256828,5.664689564,8.156377022,5.839549975,6.198384502,6.250877905,5.060402948,5.191280189,5.242278337,4.805339338,6.621196764,6.180293498,5.84568088,6.069629991,6.50749232,7.547056779,9.122534372,9.83116886,10.01699597,8.607741802,7.882624763,9.050671746,7.944159492,
Angola,AGO,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,77.412,77.424,77.424,77.414,77.392,77.396,77.386,77.365,77.335,77.298,77.295,77.281,77.261,77.24,77.222,77.237,77.248,77.255,77.26,77.26,77.32,77.333,77.335,77.328,77.311,77.298,77.273,77.238,77.193,76.459,76.501,76.873
Angola,AGO,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,,,,,,,,,,,,,,68.25,,,,,67.02,77.26,86.61,,,43.56,,,,,75.02,,76.37,
Angola,AGO,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.176578603,1.158475191,5.279878709,6.676707103,-4.359587382,6.604459721,5.471608482,4.731125092,3.70761791,6.203431254,-4.548003473,1.02744197,6.076543688,5.767028612,6.473831316,12.70814853,9.315383163,-0.014340652,-11.96269725,-7.840594744,-1.958612628,3.3728662,-0.600876397,3.795727613,3.825293099,5.496459204,3.14432324,6.883640817,4.862236166,-20.19237057,5.27084884,
Antigua and Barbuda,ATG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,1.121287896,0.771779797,1.402796636,2.407658013,1.993530552,2.030077579,2.098751967,1.787785374,1.416052594,5.333806398,-0.550159996,3.370025402,3.456749672,3.376880443,1.059497824,1.089441574,0.968993459,-0.489437796,2.43248789,1.207157934,1.431355982,0.625989707,2.062996385,7.531078346
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6,,,,,,,,,,8.42,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-6.419295561,-1.976914974,2.813207195,-1.076370126,-0.089820743,-9.379511066,-6.960444476,-6.425743683,-7.886439717,-8.080317497,-7.107574145,-10.11889205,-11.39183923,-10.34014521,-16.76432904,-25.20279174,-29.36673687,-26.21554156,-13.76054238,-14.54748988,-10.34538292,-13.90237189,-17.30079726,0.266640583,2.211337022,-2.454710378,-8.037828183,-14.54984021,-7.102918944,-16.89307733,-16.6012485,
Antigua and Barbuda,ATG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,14.56470425,13.48233758,12.70753026,12.52560542,12.69552051,12.24730724,12.51312804,12.65863364,13.5116061,13.89073144,12.88252441,13.04602902,13.27137402,13.05335304,14.51846488,18.45224574,17.74097533,19.12391632,19.46093611,16.20414704,14.53076878,14.28549382,15.68226063,16.18863876,16.45797948,17.93837237,19.22069665,21.1069983,21.16303875,21.10326075,21.88900414,
Antigua and Barbuda,ATG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,72.3129916,73.23932169,74.21676575,74.21173011,73.67418167,73.67553636,74.02253941,74.43390562,74.152866,76.20652564,75.84740665,74.98669747,74.47962392,73.16804053,72.6147719,68.27708442,67.64095981,67.26905079,68.41721217,70.68763723,72.08020523,71.61574883,70.94839666,70.38716408,69.88088344,68.5308267,67.38975764,65.82465608,66.86046256,65.30801998,64.49230119,
Antigua and Barbuda,ATG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.779934031,1.802590389,1.745364956,1.576539781,1.643078029,1.615363486,1.719024634,1.666480089,1.667681777,1.59689853,1.613380836,1.730920535,1.748065754,1.609973946,1.756335988,1.652115213,1.6058909,1.547636104,1.491637243,1.633408459,1.933181839,1.898847481,2.017298294,1.655760636,1.612326721,1.56801881,1.793598652,1.735911717,1.733408833,2.214197678,2.16286845,
Antigua and Barbuda,ATG,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,69.46,,,,,,,,,,71.75,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.133110567,7.937291556,8.206979072,5.836200704,-2.845209611,5.526689827,8.111046771,3.850178852,-3.385457041,-0.788998939,-4.408839683,-10.89448483,8.837040796,9.029573301,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003,-9.943235134,10.39824946,
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.44,6.36,10.1,11.76,18.8,17.11,14.82,12.65,14.05,15,17.32,19.59,15.36,13.52,11.51,10.08,8.47,7.84,8.65,7.71,7.18,7.22,7.1,7.27,7.524,8.109,8.35,9.22,9.84,11.46,8.74,6.491
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.44,6.36,10.1,11.76,18.8,17.11,14.82,12.65,14.05,15,17.32,19.59,15.36,13.52,11.51,10.08,8.47,7.84,8.65,7.71,7.18,7.22,7.1,7.27,,,8.35,9.22,9.84,11.46,8.74,
Argentina,ARG,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-0.341028913,-2.424838537,-3.466178295,-4.264858985,-1.983460274,-2.487593011,-4.144680066,-4.844316045,-4.212295062,-3.159922377,-1.406947885,8.970784678,6.379906802,1.950583243,2.653631422,2.794495643,2.103616039,1.499401416,2.178566962,-0.3831187,-1.007271039,-0.391595124,-2.377495666,-1.74400212,-2.962926665,-2.709226273,-4.839957173,-5.160554041,-0.779998577,0.809447656,1.376677302,
Argentina,ARG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,32.72252826,30.6839549,27.33873965,26.75455869,26.30121034,26.59256064,27.17915089,26.71213576,26.1936305,25.99083601,25.24343398,30.55773709,32.6450991,28.81692201,28.62631404,29.20327967,27.41523613,26.27245994,25.2842048,25.25877626,25.21269761,24.42905706,24.00588144,24.27739449,23.15305614,22.05410721,21.78212322,23.71959233,23.15784774,22.18057291,23.57947301,
Argentina,ARG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,60.56119851,63.32521644,61.05689761,61.59079292,62.26377967,61.35099555,60.8492831,61.53968561,63.48773052,63.46931344,65.08125733,54.77644565,51.03169425,47.83698829,48.48614593,48.74913337,49.50833078,50.2551922,53.306001,51.49518021,51.81190075,53.65811792,53.91909367,52.94054347,55.81490128,56.12223585,57.34993738,56.36975027,55.43881711,55.29220377,52.50506675,
